driver_id,position,points,wins,constructor
max_verstappen,1,429.0,9,Red Bull
norris,2,349.0,3,McLaren
leclerc,3,341.0,3,Ferrari
piastri,4,291.0,2,McLaren
sainz,5,272.0,2,Ferrari
russell,6,235.0,2,Mercedes
hamilton,7,211.0,2,Mercedes
perez,8,152.0,0,Red Bull
alonso,9,68.0,0,Aston Martin
hulkenberg,10,37.0,0,Haas F1 Team
gasly,11,36.0,0,Alpine F1 Team
tsunoda,12,30.0,0,RB F1 Team
stroll,13,24.0,0,Aston Martin
ocon,14,23.0,0,Alpine F1 Team
kevin_magnussen,15,16.0,0,Haas F1 Team
albon,16,12.0,0,Williams
ricciardo,17,12.0,0,RB F1 Team
bearman,18,7.0,0,Ferrari
colapinto,19,5.0,0,Williams
zhou,20,4.0,0,Sauber
lawson,21,4.0,0,RB F1 Team
bottas,22,0.0,0,Sauber
sargeant,23,0.0,0,Williams
